     mention      | lv  | ru | total | score  
 thearenariga     |   1 |    |     1 | 0.0000
 tishkova         |     |  1 |     1 | 0.0000
 tomokodes        |     |  1 |     1 | 0.0000
 toriameow        |     |  1 |     1 | 0.0000
 typographera     |     |  1 |     1 | 0.0000
 ugisjekabsons    |   1 |    |     1 | 0.0000
 uldisz           |   1 |    |     1 | 0.0000
 unaelvaa         |   1 |    |     1 | 0.0000
 uzzini           |   1 |    |     1 | 0.0000
 vanillawithcoke  |     |  1 |     1 | 0.0000
 varlamov         |     |  1 |     1 | 0.0000
 vb3000           |     |  1 |     1 | 0.0000
 veronikalobinja  |     |  1 |     1 | 0.0000
 veselibasinspek  |   1 |    |     1 | 0.0000
 vibane_paula     |   1 |    |     1 | 0.0000
 vigants          |   1 |    |     1 | 0.0000
 vikmanis         |   1 |    |     1 | 0.0000
 vinabarsGARAGE   |   1 |    |     1 | 0.0000
 vinnijs13        |   1 |    |     1 | 0.0000
 vit_arno         |   1 |    |     1 | 0.0000
 vitalijsiva      |   1 |    |     1 | 0.0000
 vkoralis         |   1 |    |     1 | 0.0000
 vladileb         |     |  1 |     1 | 0.0000
 vlmxs            |   1 |    |     1 | 0.0000
 wafellee         |   1 |    |     1 | 0.0000
 wetatwo          |   1 |    |     1 | 0.0000
 whoozle          |     |  1 |     1 | 0.0000
 xenafobia        |     |  1 |     1 | 0.0000
 xjki             |   1 |    |     1 | 0.0000
 yanina19981      |     |  1 |     1 | 0.0000
 zaiga_p          |   1 |    |     1 | 0.0000
 zandarts         |   1 |    |     1 | 0.0000
 zelchss          |   1 |    |     1 | 0.0000
 zhankins         |     |  1 |     1 | 0.0000
 zhozesedanova20  |     |  1 |     1 | 0.0000
 zuzan4iks        |   1 |    |     1 | 0.0000
 zweiteiliger     |     |  1 |     1 | 0.0000
 2kikii           |   1 |    |     1 | 0.0000
 32augusts        |   1 |    |     1 | 0.0000
 32nd_            |   1 |    |     1 | 0.0000
 9menesi          |   1 |    |     1 | 0.0000
 @@FEST           |   1 |    |     1 | 0.0000
 @baltcom         |   1 |    |     1 | 0.0000
 @dailesteatris   |   1 |    |     1 | 0.0000
 @dienalv         |   1 |    |     1 | 0.0000
 @galleriariga    |   1 |    |     1 | 0.0000
 @irlv            |   1 |    |     1 | 0.0000
 @izm_gov_lv      |   1 |    |     1 | 0.0000
 @jrt_lv          |   1 |    |     1 | 0.0000
 @kanepeskc       |   1 |    |     1 | 0.0000
 @kulturasdiena   |   1 |    |     1 | 0.0000
 @latvijas_pasts  |   1 |    |     1 | 0.0000
 @lnmm_muzejs     |   1 |    |     1 | 0.0000
 @nesteruna       |   1 |    |     1 | 0.0000
 @nilushakov      |     |  1 |     1 | 0.0000
 @rigaslaiks      |   1 |    |     1 | 0.0000
 @rigatv24        |   1 |    |     1 | 0.0000
 @skanumezs       |   1 |    |     1 | 0.0000
 @starfmlv        |   1 |    |     1 | 0.0000
 @tcmols          |   1 |    |     1 | 0.0000
 @zzs_            |   1 |    |     1 | 0.0000
 ABertule         |   1 |    |     1 | 0.0000
 ABrauna          |   1 |    |     1 | 0.0000
 AKMshooter       |   1 |    |     1 | 0.0000
 AValdbergs       |   1 |    |     1 | 0.0000
 Aanastasija_tr   |     |  1 |     1 | 0.0000
 AgneseMargevica  |   1 |    |     1 | 0.0000
 Agnesssssh       |   1 |    |     1 | 0.0000
 AigarsX          |   1 |    |     1 | 0.0000
 AinarsZabers     |   1 |    |     1 | 0.0000
 AlcoHistory      |     |  1 |     1 | 0.0000
 AleksejsZ        |   1 |    |     1 | 0.0000
 AlexStomas       |     |  1 |     1 | 0.0000
 AlinaKolina      |     |  1 |     1 | 0.0000
 AlinaLoveLee     |     |  1 |     1 | 0.0000
 Aljaa_1808       |     |  1 |     1 | 0.0000
 AlksneR          |   1 |    |     1 | 0.0000
 Alus_Bralis      |   1 |    |     1 | 0.0000
 Amandiinjaa      |   1 |    |     1 | 0.0000
 AminataSavadogo  |     |  1 |     1 | 0.0000
 AndrejsJudins    |   1 |    |     1 | 0.0000
 Andrey_Roch      |   1 |    |     1 | 0.0000
 AndrisSkride     |   1 |    |     1 | 0.0000
 AndrisTaurins    |   1 |    |     1 | 0.0000
 AndzejMic        |   1 |    |     1 | 0.0000
 Andzhikss        |   1 |    |     1 | 0.0000
 AnnaAmalis       |   1 |    |     1 | 0.0000
 AnnaKarabesko    |   1 |    |     1 | 0.0000
 AnnijaGreka      |   1 |    |     1 | 0.0000
 AntipovOn        |     |  1 |     1 | 0.0000
 AntonRudnev      |     |  1 |     1 | 0.0000
 AntonsMaris      |   1 |    |     1 | 0.0000
 ApgadsJumava     |   1 |    |     1 | 0.0000
 Archijs          |   1 |    |     1 | 0.0000
 Arlietas         |   1 |    |     1 | 0.0000
 ArmandsArm       |   1 |    |     1 | 0.0000
 ArnisRukis       |   1 |    |     1 | 0.0000
 AskoldsRampa     |   1 |    |     1 | 0.0000
 AstrologiLv      |   1 |    |     1 | 0.0000
 B0dzu            |     |  1 |     1 | 0.0000
 BC_BARONS        |   1 |    |     1 | 0.0000
 BENUaptiekas     |   1 |    |     1 | 0.0000
 Baicis           |   1 |    |     1 | 0.0000
 Balitis          |   1 |    |     1 | 0.0000
 Baltvilla        |   1 |    |     1 | 0.0000
 BarsLimonade     |   1 |    |     1 | 0.0000
 BelovaSheila     |     |  1 |     1 | 0.0000
 Bender_LV        |   1 |    |     1 | 0.0000
 BensLatkovskis   |   1 |    |     1 | 0.0000
 Berga_Bazars     |   1 |    |     1 | 0.0000
 Bircenko         |     |  1 |     1 | 0.0000
 Bisektrise       |   1 |    |     1 | 0.0000
 Borovkovs        |   1 |    |     1 | 0.0000
 BreakingLv       |   1 |    |     1 | 0.0000
 BriedisM         |   1 |    |     1 | 0.0000
 BriedisMairis    |   1 |    |     1 | 0.0000
 BrituPutni       |   1 |    |     1 | 0.0000
 Brivosta         |   1 |    |     1 | 0.0000
 BuzzFeedRU       |     |  1 |     1 | 0.0000
 Cietnis          |   1 |    |     1 | 0.0000
 ComedyLatvia     |   1 |    |     1 | 0.0000
 Copaclia         |     |  1 |     1 | 0.0000
 CoyoteFly        |   1 |    |     1 | 0.0000
 Crimsonfuckit    |     |  1 |     1 | 0.0000
 DELNA_LV         |   1 |    |     1 | 0.0000
 DaceKalnina      |   1 |    |     1 | 0.0000
 Dagne_Relina     |   1 |    |     1 | 0.0000
 DailyLV          |   1 |    |     1 | 0.0000
 DanaReiznieceOz  |   1 |    |     1 | 0.0000
 DaunisAuers      |   1 |    |     1 | 0.0000
 DaysHotelRiga    |   1 |    |     1 | 0.0000
 Dejass           |   1 |    |     1 | 0.0000
 DenissPashkevic  |   1 |    |     1 | 0.0000
 DenysSSka        |     |  1 |     1 | 0.0000
 Diana_Bruvere    |   1 |    |     1 | 0.0000
 DitaE_           |   1 |    |     1 | 0.0000
 Divritenis       |   1 |    |     1 | 0.0000
 EagleAndSkym     |   1 |    |     1 | 0.0000
 EdgarsKaljva     |   1 |    |     1 | 0.0000
 EduardsPurins    |   1 |    |     1 | 0.0000
 Eglajs           |   1 |    |     1 | 0.0000
 Elipsics         |   1 |    |     1 | 0.0000
 ElizabeteSnore   |   1 |    |     1 | 0.0000
 Elkor_LV         |   1 |    |     1 | 0.0000
 EmilsJakrins     |   1 |    |     1 | 0.0000
 EmilsLatkovskis  |   1 |    |     1 | 0.0000
 Eusis_           |   1 |    |     1 | 0.0000
 Evelinaa___      |   1 |    |     1 | 0.0000
 F1               |   1 |    |     1 | 0.0000
 F1LV             |   1 |    |     1 | 0.0000
 FIAformulaE      |   1 |    |     1 | 0.0000
 FIFAWorldCup     |   1 |    |     1 | 0.0000
 FK_SALA          |   1 |    |     1 | 0.0000
 FOLKKLUBS        |   1 |    |     1 | 0.0000
 FSMETTA          |   1 |    |     1 | 0.0000
 FantasyParkRiga  |   1 |    |     1 | 0.0000
 Feofan_27        |     |  1 |     1 | 0.0000
 Fillalimona      |     |  1 |     1 | 0.0000
 Finmin           |   1 |    |     1 | 0.0000
 FoodUnion        |   1 |    |     1 | 0.0000
 FreeSantana_     |     |  1 |     1 | 0.0000
 FutbolaVirsliga  |   1 |    |     1 | 0.0000
 GACHO            |   1 |    |     1 | 0.0000
 GJankovskis      |   1 |    |     1 | 0.0000
 GanbeiLV         |   1 |    |     1 | 0.0000
 GatisStrods      |   1 |    |     1 | 0.0000
 GatissK          |   1 |    |     1 | 0.0000
 GeilordsFakers   |   1 |    |     1 | 0.0000
 GintersOzols     |   1 |    |     1 | 0.0000
 Grafikaskola     |   1 |    |     1 | 0.0000
 GraniTweet       |     |  1 |     1 | 0.0000
 GuntisBojars     |   1 |    |     1 | 0.0000
 Gxldberga_Maya   |   1 |    |     1 | 0.0000
 Hereford_gala    |   1 |    |     1 | 0.0000
 HolywoodW        |     |  1 |     1 | 0.0000
 Homo_SimplyJANE  |   1 |    |     1 | 0.0000
 Homo_ignobilis   |     |  1 |     1 | 0.0000
 IDzelme          |   1 |    |     1 | 0.0000
 IKRamava         |   1 |    |     1 | 0.0000
 Ian_Goding       |   1 |    |     1 | 0.0000
 IevaIlves        |   1 |    |     1 | 0.0000
 IevaPreimane     |   1 |    |     1 | 0.0000
 Ilja_Polakovs    |   1 |    |     1 | 0.0000
 Ilustr_Zinatne   |   1 |    |     1 | 0.0000
 IlvaPratina      |   1 |    |     1 | 0.0000
 ImarsK           |   1 |    |     1 | 0.0000
 InPearly         |     |  1 |     1 | 0.0000
 Inboxledushalle  |   1 |    |     1 | 0.0000
 IngaPriedeV      |   1 |    |     1 | 0.0000
 Ingridaa_S       |   1 |    |     1 | 0.0000
 InsolentSpock    |     |  1 |     1 | 0.0000
 IrkaIriska       |     |  1 |     1 | 0.0000
 IvetaKazoka      |   1 |    |     1 | 0.0000
 IvetaPudane      |   1 |    |     1 | 0.0000
 JAMikdiena       |   1 |    |     1 | 0.0000
 JanisVingris     |   1 |    |     1 | 0.0000
 JanisZilde       |   1 |    |     1 | 0.0000
 Jaunsardze       |   1 |    |     1 | 0.0000
 JelgavaLV        |   1 |    |     1 | 0.0000
 JurgisLiepnieks  |   1 |    |     1 | 0.0000
 JurisGulbis      |   1 |    |     1 | 0.0000
 JurisRubenis     |   1 |    |     1 | 0.0000
 Just_Bar         |   1 |    |     1 | 0.0000
 Juurnieks        |   1 |    |     1 | 0.0000
 KBreidaks        |   1 |    |     1 | 0.0000
 KDachux          |   1 |    |     1 | 0.0000
 KERNES_PIDORAS   |     |  1 |     1 | 0.0000
 KNABinforme      |   1 |    |     1 | 0.0000
 K_Darznieks      |   1 |    |     1 | 0.0000
 KarelPaki        |     |  1 |     1 | 0.0000
 Karinararr       |   1 |    |     1 | 0.0000
 Karsavas_MMS     |   1 |    |     1 | 0.0000
 KasparsUpaciers  |   1 |    |     1 | 0.0000
 KateInfiniti     |     |  1 |     1 | 0.0000
 KatrinaBindere   |   1 |    |     1 | 0.0000
 KepaUzSirds      |   1 |    |     1 | 0.0000
 Kjomnijs         |   1 |    |     1 | 0.0000
 Klasika_LR3      |   1 |    |     1 | 0.0000
 KobaJashi90      |   1 |    |     1 | 0.0000
 KressEduards     |   1 |    |     1 | 0.0000
 KristapsCaune_   |   1 |    |     1 | 0.0000
 KristapsMors     |   1 |    |     1 | 0.0000
 KseniaN73        |     |  1 |     1 | 0.0000
 KsjuhaM          |     |  1 |     1 | 0.0000
 LArstu_Biedriba  |   1 |    |     1 | 0.0000
 LLKC_lv          |   1 |    |     1 | 0.0000
 LRKultura        |   1 |    |     1 | 0.0000
 LUbasketbols     |   1 |    |     1 | 0.0000
 LVRTC_TVtornis   |   1 |    |     1 | 0.0000
 LaceZane         |   1 |    |     1 | 0.0000
 LatvijasRadio2   |   1 |    |     1 | 0.0000
 Laumaryn         |   1 |    |     1 | 0.0000
 Lekrings_Damas   |   1 |    |     1 | 0.0000
 LindaMiscenkova  |   1 |    |     1 | 0.0000
 LindaTreige2     |   1 |    |     1 | 0.0000
 Linda_Novicka    |   1 |    |     1 | 0.0000
 Lindexofficial   |   1 |    |     1 | 0.0000
 LindosPolska     |     |  1 |     1 | 0.0000
 LiveLiva         |   1 |    |     1 | 0.0000
 LizaStrazdinya   |     |  1 |     1 | 0.0000
 LizumsLV         |   1 |    |     1 | 0.0000
 Ljipa            |   1 |    |     1 | 0.0000
 Lorklinika       |   1 |    |     1 | 0.0000
 Loskutovs        |   1 |    |     1 | 0.0000
 MC_Perekis       |     |  1 |     1 | 0.0000
 MFF_lv           |   1 |    |     1 | 0.0000
 MLuste           |   1 |    |     1 | 0.0000
 M_Rutkevica      |   1 |    |     1 | 0.0000
 Maarcis_S        |   1 |    |     1 | 0.0000
 MadaraKreslina   |   1 |    |     1 | 0.0000
 Madzins          |   1 |    |     1 | 0.0000
 MairaDzelzkalej  |   1 |    |     1 | 0.0000
 Manasgarsas      |   1 |    |     1 | 0.0000
 MaraDarguze      |     |  1 |     1 | 0.0000
 Marchellito      |   1 |    |     1 | 0.0000
 MarisKucinskis   |   1 |    |     1 | 0.0000
 Maris_Zanders    |   1 |    |     1 | 0.0000
 MartinsBondars   |   1 |    |     1 | 0.0000
 MazaGilde        |   1 |    |     1 | 0.0000
 McDonalds        |   1 |    |     1 | 0.0000
 MekijsNazis      |   1 |    |     1 | 0.0000
 MelnaPiektdiena  |   1 |    |     1 | 0.0000
 MenessAptieka    |   1 |    |     1 | 0.0000
 MercedesAMGF1    |   1 |    |     1 | 0.0000
 Mevigym          |   1 |    |     1 | 0.0000
 Mierini          |   1 |    |     1 | 0.0000
 MihailZeludehko  |     |  1 |     1 | 0.0000
 MintosPlatform   |   1 |    |     1 | 0.0000
 Movemote         |     |  1 |     1 | 0.0000
 MrBalins         |   1 |    |     1 | 0.0000
 MrMusha          |   1 |    |     1 | 0.0000
 Mr_Raimis        |   1 |    |     1 | 0.0000
 Msirajeva        |     |  1 |     1 | 0.0000
 MumfordAndSons   |   1 |    |     1 | 0.0000
 MuteFood         |   1 |    |     1 | 0.0000
 MuzejsRigaBirza  |   1 |    |     1 | 0.0000
 MyMiuma          |   1 |    |     1 | 0.0000
 NBALatvija       |   1 |    |     1 | 0.0000
 Nash_East        |     |  1 |     1 | 0.0000
 Nauris_L         |   1 |    |     1 | 0.0000
 NiklavsN         |   1 |    |     1 | 0.0000
 OMNYKIDS         |     |  1 |     1 | 0.0000
 ONuzhnenko       |     |  1 |     1 | 0.0000
 OlavsCers        |   1 |    |     1 | 0.0000
 Olj4ikk          |     |  1 |     1 | 0.0000
 OptibetLatvija   |   1 |    |     1 | 0.0000
 Orlach           |   1 |    |     1 | 0.0000
 Oskars_Kaulens   |   1 |    |     1 | 0.0000
 OstapsBenders    |   1 |    |     1 | 0.0000
 OtoGrinbergs     |   1 |    |     1 | 0.0000
 OttoOzols        |   1 |    |     1 | 0.0000
 OzolaBalode      |   1 |    |     1 | 0.0000
 PacaPatrcija     |   1 |    |     1 | 0.0000
 Pasaulescentrs   |   1 |    |     1 | 0.0000
 Patriicija_V     |   1 |    |     1 | 0.0000
 PatverumsDM      |   1 |    |     1 | 0.0000
 Pavel_XII        |     |  1 |     1 | 0.0000
 Pecpusdiena      |   1 |    |     1 | 0.0000
 PhanAtDeDisco    |   1 |    |     1 | 0.0000
 PietiekPortals   |   1 |    |     1 | 0.0000
 Pilsetasdzive    |   1 |    |     1 | 0.0000
 Pink_Floydov     |     |  1 |     1 | 0.0000
 PuuchuksJ        |   1 |    |     1 | 0.0000
 RAsaris          |   1 |    |     1 | 0.0000
 REALITYsc        |     |  1 |     1 | 0.0000
 RLB_lv           |   1 |    |     1 | 0.0000
 RaivisSh         |   1 |    |     1 | 0.0000
 ReinisNitissRX   |   1 |    |     1 | 0.0000
 Reinis_Me        |   1 |    |     1 | 0.0000
 Riga24           |   1 |    |     1 | 0.0000
 Riga_Lara        |     |  1 |     1 | 0.0000
 RigasModes       |   1 |    |     1 | 0.0000
 RigasPP          |   1 |    |     1 | 0.0000
 RigasSatiksme    |   1 |    |     1 | 0.0000
 RitaEvaNa        |   1 |    |     1 | 0.0000
 RitaSvita        |   1 |    |     1 | 0.0000
 Rizhiks_Pizhiks  |   1 |    |     1 | 0.0000
 RobertsKarklins  |   1 |    |     1 | 0.0000
 RockSandis112    |   1 |    |     1 | 0.0000
 Rokkafejnica     |   1 |    |     1 | 0.0000
 RuPaul           |     |  1 |     1 | 0.0000
 Ruksane          |   1 |    |     1 | 0.0000
 SPKCentrs        |   1 |    |     1 | 0.0000
 SaldusRadio      |   1 |    |     1 | 0.0000
 Sat_Min          |   1 |    |     1 | 0.0000
 SaulesAptieka    |   1 |    |     1 | 0.0000
 SigmaLS8361      |   1 |    |     1 | 0.0000
 SilRa_A          |   1 |    |     1 | 0.0000
 Sildniks         |   1 |    |     1 | 0.0000
 Skontostadions   |   1 |    |     1 | 0.0000
 SkrienLatvija    |   1 |    |     1 | 0.0000
 Snowtales        |   1 |    |     1 | 0.0000
 So_Sue_Me_       |   1 |    |     1 | 0.0000
 Spice_Mountain   |   1 |    |     1 | 0.0000
 StalinGulag      |     |  1 |     1 | 0.0000
 SynotTipLV       |   1 |    |     1 | 0.0000
 THEMaksimko      |   1 |    |     1 | 0.0000
 THUNDERFROST1    |     |  1 |     1 | 0.0000
 TaaPatiGerda     |   1 |    |     1 | 0.0000
 TheNakuName      |     |  1 |     1 | 0.0000
 TheZirnis        |   1 |    |     1 | 0.0000
 Tyomster         |     |  1 |     1 | 0.0000
 UzrakstiMan_     |   1 |    |     1 | 0.0000
 VC4_LV           |   1 |    |     1 | 0.0000
 VOCsports        |   1 |    |     1 | 0.0000
 VRudzitis        |   1 |    |     1 | 0.0000
 ValmieraORDO     |   1 |    |     1 | 0.0000
 ValstsPolicija   |   1 |    |     1 | 0.0000
 Valsts_policija  |   1 |    |     1 | 0.0000
 Vasili_ili       |     |  1 |     1 | 0.0000
 Vasilisa_Dark    |     |  1 |     1 | 0.0000
 VentsAKrauklis   |   1 |    |     1 | 0.0000
 Vents_Zvaigzne   |   1 |    |     1 | 0.0000
 VeronikaKolosov  |     |  1 |     1 | 0.0000
 VilisKolka       |   1 |    |     1 | 0.0000
 Vinotava         |   1 |    |     1 | 0.0000
 Vita_Lombards    |   1 |    |     1 | 0.0000
 Vitalijs_S       |   1 |    |     1 | 0.0000
 Vivita_Braslina  |   1 |    |     1 | 0.0000
 Winnijs1Winnijs  |   1 |    |     1 | 0.0000
 XbyDrones        |     |  1 |     1 | 0.0000
 YouTube          |   1 |    |     1 | 0.0000
 Zavileiskis      |   1 |    |     1 | 0.0000
 ZeltaMikrofons   |   1 |    |     1 | 0.0000
 ZemGun           |   1 |    |     1 | 0.0000
 ZemesDienests    |   1 |    |     1 | 0.0000
 ZerkaaHD         |   1 |    |     1 | 0.0000
 Zimejumuteatris  |   1 |    |     1 | 0.0000
 Zmeycharauski    |   1 |    |     1 | 0.0000
 Zondz010         |     |  1 |     1 | 0.0000
 a_iljina         |     |  1 |     1 | 0.0000
 a_latkovskis     |   1 |    |     1 | 0.0000
 absolut_ilze     |   1 |    |     1 | 0.0000
 adeniins         |   1 |    |     1 | 0.0000
 adorabledemon    |     |  1 |     1 | 0.0000
 agnesesiktare    |   1 |    |     1 | 0.0000
 agsidenko        |     |  1 |     1 | 0.0000
 aiisatsan        |     |  1 |     1 | 0.0000
 airavs           |   1 |    |     1 | 0.0000
 aizmirstiba      |   1 |    |     1 | 0.0000
 akirstei         |   1 |    |     1 | 0.0000
 akmens           |   1 |    |     1 | 0.0000
 alisasurkova7    |     |  1 |     1 | 0.0000
 alpaqa           |   1 |    |     1 | 0.0000
 and_kse          |   1 |    |     1 | 0.0000
 andrei_kaa       |     |  1 |     1 | 0.0000
 andrispp         |   1 |    |     1 | 0.0000
 anetebabenko     |   1 |    |     1 | 0.0000
 anjaaustrina     |     |  1 |     1 | 0.0000
 annarage_        |     |  1 |     1 | 0.0000
 annwurst_        |     |  1 |     1 | 0.0000
 anthon_gandon    |     |  1 |     1 | 0.0000
 arikalinaa       |     |  1 |     1 | 0.0000
 arinuwka4        |   1 |    |     1 | 0.0000
 arniskrauze      |   1 |    |     1 | 0.0000
 artuss           |   1 |    |     1 | 0.0000
 artuukx          |   1 |    |     1 | 0.0000
 atevi2           |   1 |    |     1 | 0.0000
 atisbille        |   1 |    |     1 | 0.0000
 baidekalna       |   1 |    |     1 | 0.0000
 balticmarathons  |   1 |    |     1 | 0.0000
 bankovskis       |   1 |    |     1 | 0.0000
 bauskasbiblio    |   1 |    |     1 | 0.0000
 beekirik         |     |  1 |     1 | 0.0000
 belka_shi        |     |  1 |     1 | 0.0000
 bezvestslv       |   1 |    |     1 | 0.0000
 bilberry_am      |     |  1 |     1 | 0.0000
 birojnica        |   1 |    |     1 | 0.0000
 burbon_monster   |   1 |    |     1 | 0.0000
 cactus_is_love   |   1 |    |     1 | 0.0000
 cantab3          |   1 |    |     1 | 0.0000
 chaukis          |   1 |    |     1 | 0.0000
 cheepatunTM      |     |  1 |     1 | 0.0000
 chilyandlime     |     |  1 |     1 | 0.0000
 cibric           |   1 |    |     1 | 0.0000
 coksiks          |     |  1 |     1 | 0.0000
 copypointlv      |   1 |    |     1 | 0.0000
 crapfucku        |     |  1 |     1 | 0.0000
 crystalldaisy    |     |  1 |     1 | 0.0000
(973 rows)

